Sector,Subsector,Region,Market,Report_Year,Report_Half,H1_Low,H1_High,H2_Low,H2_High,H1_Alt_Low,H1_Alt_High,H2_Alt_Low,H2_Alt_High
Multifamily,Class A,S. FL: West Palm Beach 4.25% - 4.75% 3.75% - 4.5% 5% - 5.5% 4.5% - 5%,San Antonio,2021,2,3.5,4.25,,,2.75,3.5,,
Multifamily,Class A,South West,San Diego,2021,2,3.75,4.25,,,3.75,4.25,,
Multifamily,Class A,S. FL: West Palm Beach 4.25% - 4.75% 3.75% - 4.5% 5% - 5.5% 4.5% - 5%,Seattle,2021,2,4.25,4.5,,,3.75,4.0,,
Multifamily,Class A,East Midwest,St Louis,2021,2,4.75,5.25,,,4.0,5.25,,
Office,Class A,South West,Albuquerque,2021,2,7.5,8.25,,,6.5,8.5,,
Office,Class A,South West,Atlanta,2021,2,6.0,6.75,,,5.5,6.25,,
Office,Class A,South West,Austin,2021,2,5.25,5.75,,,5.0,5.75,,
Office,Class A,East Midwest,Baltimore,2021,2,7.5,8.5,,,7.25,7.75,,
Office,Class A,East Midwest,Boston,2021,2,6.0,7.0,,,6.0,7.0,,
Office,Class A,South West,Charlotte,2021,2,6.0,6.5,,,5.5,6.25,,
Office,Class A,East Midwest,Chicago,2021,2,7.25,8.25,,,7.25,8.25,,
Office,Class A,East Midwest,Cincinnati,2021,2,7.75,8.75,,,7.75,8.75,,
Office,Class A,East Midwest,Cleveland,2021,2,8.0,9.0,,,8.0,9.0,,
Office,Class A,East Midwest,Columbus,2021,2,7.5,8.5,,,7.5,8.5,,
Office,Class A,South West,Dallas/Fort Worth,2021,2,5.75,6.75,,,5.75,6.5,,
Office,Class A,South West,Denver,2021,2,6.75,7.25,,,6.75,7.25,,
Office,Class A,East Midwest,Detroit,2021,2,8.5,9.75,,,8.25,9.5,,
Office,Class A,South West,Houston,2021,2,7.5,7.75,,,7.25,7.75,,
Office,Class A,East Midwest,Indianapolis,2021,2,7.5,8.0,,,7.5,8.0,,
Office,Class A,South West,Jacksonville,2021,2,6.5,6.75,,,6.25,7.0,,
Office,Class A,East Midwest,Kansas City,2021,2,6.75,7.25,,,6.75,7.25,,
Office,Class A,South West,Las Vegas,2021,2,6.0,7.0,,,5.75,6.75,,
Office,Class A,South West,Memphis,2021,2,7.25,7.75,,,7.25,7.75,,
Office,Class A,East Midwest,Minneapolis/St Paul,2021,2,7.0,8.0,,,6.75,7.75,,
Office,Class A,South West,Nashville,2021,2,6.75,7.5,,,7.0,7.5,,
Office,Class A,East Midwest,Philadelphia,2021,2,7.0,8.0,,,6.75,7.5,,
Office,Class A,South West,Phoenix,2021,2,5.75,6.75,,,5.75,6.75,,
Office,Class A,East Midwest,Pittsburgh,2021,2,7.75,8.5,,,7.75,8.5,,
Office,Class A,South West,Portland,2021,2,6.0,6.75,,,5.75,6.5,,
Office,Class A,South West,Raleigh-Durham,2021,2,5.25,6.25,,,5.25,6.0,,
Office,Class A,South West,Richmond,2021,2,6.25,7.5,,,6.0,7.5,,
Office,Class A,South West,Sacramento,2021,2,6.5,7.0,,,6.5,7.0,,
Office,Class A,South West,Salt Lake City,2021,2,6.5,7.0,,,6.25,7.0,,
Office,Class A,South West,San Antonio,2021,2,6.5,7.25,,,6.25,7.0,,
Office,Class A,South West,San Diego,2021,2,5.75,6.25,,,5.75,6.25,,
Office,Class A,South West,Seattle,2021,2,5.5,6.0,,,5.25,6.0,,
Office,Class A,East Midwest,St Louis,2021,2,7.75,8.25,,,7.5,8.25,,
Office,Class A,South West,Tampa,2021,2,7.0,7.75,,,7.0,7.75,,
Retail,,South West,Albuquerque,2021,2,7.5,7.75,,,6.5,7.5,,
Retail,,South West,Atlanta,2021,2,5.5,6.0,,,5.75,5.0,,
